symbol,bucket_ts_ms,bucket_start_utc,trade_count,buy_trade_count,sell_trade_count,buy_notional,sell_notional,cvd,total_notional,taker_buy_pct,avg_trade_notional,max_trade_notional,vwap,low_price,high_price
bnb-usdc,1777059780000,2026-04-24T19:43:00Z,3,2,1,905.43554,12.7698,892.66574,918.20534,98.6092653306,306.068446667,900.3273,638.529443672,638.49,638.53
bnb-usdc,1777059900000,2026-04-24T19:45:00Z,4,1,3,19.1526,139.80353,-120.65093,158.95613,12.0489848363,39.7390325,101.50083,638.378032129,638.37,638.42
bnb-usdc,1777059960000,2026-04-24T19:46:00Z,2,1,1,4.46929,594.97948,-590.51019,599.44877,0.745566631157,299.724385,594.97948,638.390596379,638.39,638.47
bnb-usdc,1777060020000,2026-04-24T19:47:00Z,3,1,2,29.37238,117.47968,-88.1073,146.85206,20.0013401242,48.9506866667,102.1552,638.487217391,638.47,638.53
bnb-usdc,1777060080000,2026-04-24T19:48:00Z,2,0,2,0,379.28088,-379.28088,379.28088,0,189.64044,249.66132,638.52,638.52,638.52
bnb-usdc,1777060140000,2026-04-24T19:49:00Z,2,0,2,0,60.6575,-60.6575,60.6575,0,30.32875,44.695,638.5,638.5,638.5
bnb-usdc,1777060200000,2026-04-24T19:50:00Z,2,1,1,323.09618,126.44082,196.65536,449.537,71.8731005457,224.7685,323.09618,638.546875,638.53,638.59
bnb-usdc,1777060260000,2026-04-24T19:51:00Z,2,0,2,0,60.66598,-60.66598,60.66598,0,30.33299,56.19592,638.589263158,638.58,638.59
bnb-usdc,1777060320000,2026-04-24T19:52:00Z,2,0,2,0,210.09611,-210.09611,210.09611,0,105.048055,147.51429,638.59,638.59,638.59
bnb-usdc,1777060380000,2026-04-24T19:53:00Z,4,2,2,60.01636,162.17392,-102.15756,222.19028,27.0112445963,55.54757,151.31976,638.477816092,638.46,638.5
bnb-usdc,1777060500000,2026-04-24T19:55:00Z,5,3,2,56.18539,285.98976,-229.80437,342.17515,16.4200673252,68.43503,250.87941,638.386473881,638.37,638.51
bnb-usdc,1777060560000,2026-04-24T19:56:00Z,5,3,2,50.43385,234.92272,-184.48887,285.35657,17.6739754056,57.071314,183.85632,638.381588367,638.33,638.43
bnb-usdc,1777060620000,2026-04-24T19:57:00Z,2,2,0,38.30643,0,38.30643,38.30643,100,19.153215,24.89877,638.4405,638.43,638.46
bnb-usdc,1777060680000,2026-04-24T19:58:00Z,1,0,1,0,0.63838,-0.63838,0.63838,0,0.63838,0.63838,638.38,638.38,638.38
bnb-usdc,1777060740000,2026-04-24T19:59:00Z,2,1,1,37.01676,176.77032,-139.75356,213.78708,17.3147787977,106.89354,176.77032,638.17038806,638.16,638.22
bnb-usdc,1777060800000,2026-04-24T20:00:00Z,16,11,5,9535.83497,1460.02789,8075.80708,10995.86286,86.7220252872,687.24142875,3987.9375,638.070147972,637.67,638.22
bnb-usdc,1777060860000,2026-04-24T20:01:00Z,3,1,2,173.45712,548.34236,-374.88524,721.79948,24.0312060075,240.599826667,375.55818,637.63204947,637.58,637.71
bnb-usdc,1777060920000,2026-04-24T20:02:00Z,9,3,6,599.54044,792.3277,-192.78726,1391.86814,43.0745142281,154.652015556,563.18623,637.594200641,637.37,637.81
bnb-usdc,1777060980000,2026-04-24T20:03:00Z,4,0,4,0,352.48794,-352.48794,352.48794,0,88.121985,197.5971,637.410379747,637.41,637.44
bnb-usdc,1777061100000,2026-04-24T20:05:00Z,5,3,2,372.98875,147.91392,225.07483,520.90267,71.6043075763,104.180534,267.15021,637.579767442,637.54,637.59
bnb-usdc,1777061160000,2026-04-24T20:06:00Z,1,1,0,15.30216,0,15.30216,15.30216,100,15.30216,15.30216,637.59,637.59,637.59
bnb-usdc,1777061220000,2026-04-24T20:07:00Z,5,2,3,804.23488,1050.93472,-246.69984,1855.1696,43.3510165324,371.03392,799.77385,637.296324287,637.27,637.34
bnb-usdc,1777061280000,2026-04-24T20:08:00Z,2,1,1,150.38864,11.46834,138.9203,161.85698,92.9145224383,80.92849,150.38864,637.232204724,637.13,637.24
bnb-usdc,1777061340000,2026-04-24T20:09:00Z,2,1,1,10.19456,16.55914,-6.36458,26.7537,38.1052340424,13.37685,16.55914,636.992857143,636.89,637.16
