symbol,hour_start_utc,bucket_pct,ref_price,bucket_price,first_ts_utc,last_ts_utc,trade_count,buy_trade_count,sell_trade_count,buy_notional,sell_notional,total_notional,max_trade_notional,cvd,taker_buy_pct,dominant_side,avg_trade_notional,dist_from_ref_pct
bnb-usdc,2026-04-24T19:00:00+00:00,0.25,637.609479104,637.609479104,2026-04-24T19:12:29.681000+00:00,2026-04-24T19:59:44.390000+00:00,66,39,27,20635.98625,3625.61602,24261.60227,3917.15896,17010.37023,85.0561558975,BUY,367.600034394,0
bnb-usdc,2026-04-24T19:00:00+00:00,0.25,637.609479104,639.203502802,2026-04-24T19:39:38.978000+00:00,2026-04-24T19:57:50.942000+00:00,35,19,16,5283.53495,1166.59856,6450.13351,1915.59,4116.93639,81.9135749951,BUY,184.289528857,0.25
bnb-usdc,2026-04-24T20:00:00+00:00,0.25,637.379348265,637.379348265,2026-04-24T20:00:09.117000+00:00,2026-04-24T20:59:39.114000+00:00,173,69,104,35492.20033,28928.41253,64420.61286,3994.10528,6563.7878,55.094477923,BUY,372.37348474,0
bnb-usdc,2026-04-24T20:00:00+00:00,0.25,637.379348265,635.785899894,2026-04-24T20:24:35.890000+00:00,2026-04-24T20:29:10.252000+00:00,11,0,11,0,5873.29918,5873.29918,3283.22174,-5873.29918,0,SELL,533.936289091,-0.25
bnb-usdc,2026-04-24T20:00:00+00:00,0.25,637.379348265,638.972796636,2026-04-24T20:00:35.927000+00:00,2026-04-24T20:00:37.172000+00:00,3,3,0,81.05394,0,81.05394,56.16336,81.05394,100,BUY,27.01798,0.25
bnb-usdc,2026-04-24T21:00:00+00:00,0.25,637.459706022,637.459706022,2026-04-24T21:00:45.812000+00:00,2026-04-24T21:59:56.673000+00:00,147,51,96,10704.57623,10234.69626,20939.27249,2499.6867,469.87997,51.1220064361,BUY,142.444030544,0
bnb-usdc,2026-04-24T21:00:00+00:00,0.25,637.459706022,639.053355287,2026-04-24T21:05:13.198000+00:00,2026-04-24T21:06:30.617000+00:00,3,3,0,484.47331,0,484.47331,284.04795,484.47331,100,BUY,161.491103333,0.25
bnb-usdc,2026-04-24T22:00:00+00:00,0.25,636.781045658,636.781045658,2026-04-24T22:00:03.048000+00:00,2026-04-24T22:59:33.799000+00:00,167,48,119,3294.54893,27027.39398,30321.94291,3912.42258,-23732.84505,10.8652303046,SELL,181.568520419,0
bnb-usdc,2026-04-24T22:00:00+00:00,0.25,636.781045658,635.189093044,2026-04-24T22:39:01.617000+00:00,2026-04-24T22:58:11.732000+00:00,39,6,33,486.89746,16612.40169,17099.29915,7537.6655,-16125.50423,2.8474702719,SELL,438.443567949,-0.25
bnb-usdc,2026-04-24T22:00:00+00:00,0.25,636.781045658,638.372998272,2026-04-24T22:03:33.079000+00:00,2026-04-24T22:20:17.228000+00:00,17,7,10,4429.0368,1690.90824,6119.94504,1179.597,2738.12856,72.3705322687,BUY,359.996767059,0.25
